trip_id,Departure,Arrival,Duration,Departure_City,Arrival_City
OCESN882103F0200249751,Gare de Ambérieu-en-Bugey,Gare de Bourg-en-Bresse,23,Ambérieu-en-Bugey,Montluel
OCESN882106F0200249754,Gare de Bourg-en-Bresse,Gare de Mâcon-Ville,29,Montluel,Mâcon
OCESN882110F0200249756,Gare de Chambéry-Chal.-les-Eaux,Gare de Moûtiers-Salins-Brides,80,Chambéry,Moûtiers
OCESN883103F0400449775,Gare de Aix-les-Bains-le-Revard,Gare de Bourg-St-Maurice,129,Lovagny,Bourg-Saint-Maurice
OCESN883115F0400449778,Gare de Ambérieu-en-Bugey,Gare de Chambéry-Chal.-les-Eaux,73,Ambérieu-en-Bugey,Chambéry
OCESN883600F0200249926,Gare de Chambéry-Chal.-les-Eaux,Gare de Grenoble,53,Chambéry,Gières
OCESN883701F0200249938,Gare de Annecy,Gare de St-Gervais-L-B-Le-Fayet,97,Annecy,Saint-Gervais-les-Bains
OCESN884117F0300349977,Gare de Bellegarde-s-V. Gare,Gare de La Roche-sur-Foron,65,Valserhône,La Roche-sur-Foron
OCESN884608F0700750018,Gare de Grenoble U.-Gières,Gare de Valence-Ville,97,Gières,Valence
OCESN885100F0300350078,Gare de Grenoble U.-Gières,Gare de St-Marcellin,53,Gières,Marcellina
OCESN885103F0200250079,Gare de St-Marcellin,Gare de Valence-Ville,39,Marcellina,Valence
OCESN885104F0200250080,Gare de Grenoble,Gare de St-Marcellin,40,Gières,Marcellina
OCESN885111F0200250083,Gare de Grenoble U.-Gières,Gare de Rives,43,Gières,Rives
OCESN885401F0500550114,Gare de Grenoble U.-Gières,Gare de St-André-le-Gaz,69,Gières,Saint-André-le-Gaz
OCESN885409F0200250117,Gare de Grenoble,Gare de St-André-le-Gaz,62,Gières,Saint-André-le-Gaz
OCESN885413F0400450120,Gare de Grenoble,Gare de Rives,30,Gières,Rives
OCESN885456F0400450135,Gare de Gap,Gare de Grenoble,181,Gap,Gières
OCESN885601F0200250144,Gare de Clelles-Mens,Gare de Grenoble,71,Clelles,Gières
OCESN885601F0300350143,Gare de Grenoble,Gare de Veynes-Dévoluy,134,Gières,Veynes
OCESN885605F0600650145,Gare de Chambéry-Chal.-les-Eaux,Gare de Rives,90,Chambéry,Rives
OCESN885735F0600650201,Gare de Lyon-Part-Dieu,Gare de Mâcon-Ville,62,Lyon,Mâcon
OCESN886003F0300350227,Gare de Lyon-Perrache,Gare de Mâcon-Ville,60,Lyon,Mâcon
OCESN886007F0300350228,Gare de Lyon-Perrache,Gare de Valence-Ville,70,Lyon,Valence
OCESN886102F0200250248,Gare de Lyon-Part-Dieu,Gare de Valence-Ville,71,Lyon,Valence
OCESN886105F0200250254,Gare de Mâcon-Ville,Gare de Valence-Ville,138,Mâcon,Valence
OCESN886111F0300350266,Gare de Marseille-St-Charles,Gare de Valence-Ville,145,Marseille,Valence
OCESN886170F0500550345,Gare de Mâcon-Ville,Gare de Pierrelatte,189,Mâcon,Pierrelatte
OCESN886172F0400450353,Gare de Avignon-Centre,Gare de Mâcon-Ville,235,Morières-lès-Avignon,Mâcon
OCESN886174F0700750356,Gare de Avignon-Centre,Gare de Valence-Ville,89,Morières-lès-Avignon,Valence
OCESN886175F0700750362,Gare de Avignon-Centre,Gare de Lyon-Perrache,168,Morières-lès-Avignon,Lyon
OCESN886176F0600650366,Gare de Firminy,Gare de Lyon-Perrache,82,Firminy,Lyon
OCESN886201F0600650414,Gare de Firminy,Gare de St-Etienne-Châteaucreux,22,Firminy,Saint-Étienne
OCESN886201F1001050412,Gare de Lyon-Perrache,Gare de St-Etienne-Châteaucreux,55,Lyon,Saint-Étienne
OCESN886233F0700750473,Gare de Givors-Ville,Gare de Lyon-Perrache,25,Givors,Lyon
OCESN886295F0200250552,Gare de Bourg-en-Bresse,Gare de Oyonnax,53,Montluel,Oyonnax
OCESN886401F0200250553,Gare de Lyon-Perrache,Gare de Oyonnax,130,Lyon,Oyonnax
OCESN886407F0600650559,Gare de Bourg-en-Bresse,Gare de Lyon-Perrache,65,Montluel,Lyon
OCESN886415F0100150564,Gare de Bourg-en-Bresse,Gare de Lyon-Part-Dieu,42,Montluel,Lyon
OCESN886461F0200250566,Gare de Lyon-Perrache,Gare de Roanne,89,Lyon,Bully
OCESN886602F0100150569,Gare de Ambérieu-en-Bugey,Gare de St-Etienne-Châteaucreux,97,Ambérieu-en-Bugey,Saint-Étienne
OCESN886700F0500550628,Gare de Ambérieu-en-Bugey,Gare de Givors-Ville,64,Ambérieu-en-Bugey,Givors
OCESN886702F0800850635,Gare de Lyon-Part-Dieu,Gare de St-Etienne-Châteaucreux,46,Lyon,Saint-Étienne
OCESN886710F0800850648,Gare de Givors-Ville,Gare de Lyon-Part-Dieu,17,Givors,Lyon
OCESN886710F1501550647,Gare de Ambérieu-en-Bugey,Gare de Lyon-Part-Dieu,41,Ambérieu-en-Bugey,Lyon
OCESN886726F0900950677,Gare de Roanne,Gare de St-Etienne-Châteaucreux,73,Bully,Saint-Étienne
OCESN886900F0200250872,Gare de Lyon-Perrache,Gare de Vienne,34,Lyon,Poitiers
OCESN887101F0200250909,Gare de Vienne,Gare de Villefranche-sur-Saône,74,Poitiers,Villefranche-sur-Saône
OCESN887102F0200250910,Gare de Mâcon-Ville,Gare de Vienne,98,Mâcon,Poitiers
OCESN887103F0300350911,Gare de Lyon-Perrache,Gare de Villefranche-sur-Saône,36,Lyon,Villefranche-sur-Saône
OCESN887103F0400450912,Gare de Lyon-Perrache,Gare de St-André-le-Gaz,56,Lyon,Saint-André-le-Gaz
OCESN887300F0400450987,Gare de Bourgoin-Jallieu,Gare de Lyon-Perrache,37,Bourgoin-Jallieu,Lyon
OCESN887302F0400450989,Gare de Die,Gare de Romans-Bourg-de-Péage,83,Saint-Dié-des-Vosges,Romans-sur-Isère
OCESN889200F0300351037,Gare de Lyon-Perrache,Gare de Sathonay-Rillieux,19,Lyon,Sathonay-Camp
OCESN889409F1001051050,Gare de Montbrison,Gare de St-Etienne-Châteaucreux,40,Montbrison,Saint-Étienne
OCESN889901F0200251142,Gare de Boën,Gare de St-Etienne-Châteaucreux,53,Boën-sur-Lignon,Saint-Étienne
OCESN889905F0200251146,Gare de Le Puy-en-Velay,Gare de St-Etienne-Châteaucreux,113,Saint-Vincent,Saint-Étienne
OCESN889950F0200251173,Gare de Bas-Monistrol,Gare de St-Etienne-Châteaucreux,55,Bas-en-Basset,Saint-Étienne
OCESN889990F0200251219,Gare de Lyon-St-Paul,Gare de Sain-Bel,42,Caluire-et-Cuire,Sainte-Anne-de-Bellevue
OCESN890000F0200251226,Gare de L'Arbresle,Gare de Lyon-St-Paul,37,L'Arbresle,Caluire-et-Cuire
OCESN890004F0200251230,Gare de Lozanne,Gare de Tassin,25,Lozanne,Tassin-la-Demi-Lune
OCESN890200F0200251308,Gare de Brignais,Gare de Lyon-St-Paul,25,Brignais,Caluire-et-Cuire
OCESN890300F0200251328,Gare de Laroche-Migennes,Gare de Paris-Gare-de-Lyon,125,Migennes,Paris
OCESN891000F0800851371,Gare de Montereau,Gare de Paris-Gare-de-Lyon,57,Montereau-Fault-Yonne,Paris
OCESN891003F1001051378,Gare de Laroche-Migennes,Gare de Paris-Bercy,124,Migennes,Paris
OCESN891024F0400451438,Gare de Corbigny,Gare de Paris-Bercy,213,Corbigny,Paris
OCESN891200F0900951550,Gare de Corbigny,Gare de Paris-Gare-de-Lyon,215,Corbigny,Paris
OCESN891200F2202251554,Gare de Auxerre-St-Gervais,Gare de Paris-Bercy,105,Auxerre,Paris
OCESN891204F1201251557,Gare de Clamecy,Gare de Paris-Bercy,165,Corbigny,Paris
OCESN891204F2002051567,Gare de Clamecy,Gare de Paris-Gare-de-Lyon,159,Corbigny,Paris
OCESN891204F2702751556,Gare de Avallon,Gare de Paris-Bercy,158,Avallon,Paris
OCESN891206F0800851575,Gare de Avallon,Gare de Paris-Gare-de-Lyon,160,Avallon,Paris
OCESN891206F1501551577,Gare de Auxerre-St-Gervais,Gare de Paris-Gare-de-Lyon,119,Auxerre,Paris
OCESN891221F0700751602,Gare de Auxerre-St-Gervais,Gare de Dijon-Ville,114,Auxerre,Dijon
OCESN891350F0600651732,Gare de Chalon-sur-Saône,Gare de Dijon-Ville,43,Allerey-sur-Saône,Dijon
OCESN891400F0200251766,Gare de Is-sur-Tille,Gare de Les Laumes-Alésia,76,Marcilly-sur-Tille,Venarey-les-Laumes
OCESN891751F0300351843,Gare de Bourg-en-Bresse,Gare de Dijon-Ville,102,Montluel,Dijon
